         179518 function calls (179461 primitive calls) in 5.828 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.563    0.563 /home/se/.local/lib/python3.8/site-packages/urllib3/connectionpool.py:351(_make_request)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.8/encodings/__init__.py:70(search_function)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:1008(set_ok_domain)
       21    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/feedparser.py:128(__next__)
        1    0.000    0.000    5.734    5.734 financial.py:22(GetPage)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:1386(_normalized_cookie_tuples)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:969(get_data)
        1    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:440(reset)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.8/http/cookiejar.py:1677(extract_cookies)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/crypto.py:1092(_from_raw_x509_ptr)
        1    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:569(from_httplib)
        1    0.000    0.000    0.050    0.050 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:465(wrap_socket)
       17    0.000    0.000    0.000    0.000 {method 'new' of 'CompiledFFI' objects}
       75    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:60(valid_string_length)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
       18    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/_collections.py:214(add)
        2    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
       43    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_get_cipher_list}
       30    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/_oid.py:58(__hash__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:143(_str2time)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:303(__init__)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:858(quote_from_bytes)
       33    0.000    0.000    0.153    0.005 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:543(stream)
       77    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/x509/extensions.py:1217(<genexpr>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:754(__init__)
        1    0.000    0.000    0.001    0.001 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:443(set_ciphers)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/requests/sessions.py:97(get_redirect_target)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:276(_optimize_charset)
